,Datetime,Time,Lon/deg,Lat/deg,Radius/Rs
0,2020-05-01,00:00:00,47.57274878108011,3.822913241498239,163.62615308269994
1,2020-05-01,06:00:00,44.22987523975449,3.8210647085961646,163.16444452234387
2,2020-05-01,12:00:00,40.8881602934132,3.8191572883241434,162.69788414124366
3,2020-05-01,18:00:00,37.547626163888324,3.8171899646263756,162.22645000789103
4,2020-05-02,00:00:00,34.208295562776705,3.8151616920358533,161.7501198183408
5,2020-05-02,06:00:00,30.870191706239037,3.8130713947017933,161.26887088784034
6,2020-05-02,12:00:00,27.53333832774386,3.8109179654024175,160.78268013670495
7,2020-05-02,18:00:00,24.19775970881847,3.808700264338035,160.29152411686658
8,2020-05-03,00:00:00,20.863480685919715,3.8064171181231585,159.7953789803898
9,2020-05-03,06:00:00,17.53052666755269,3.804067318641885,159.2942204701458
10,2020-05-03,12:00:00,14.198923649210947,3.8016496218876332,158.7880239037142
11,2020-05-03,18:00:00,10.868698249230118,3.7991627465214157,158.2767642047233
12,2020-05-04,00:00:00,7.539877716740913,3.796605372693209,157.76041586661256
13,2020-05-04,06:00:00,4.212489951558374,3.7939761406888657,157.2389529421567
14,2020-05-04,12:00:00,0.8865635215190316,3.7912736495612815,156.71234902512748
15,2020-05-04,18:00:00,357.56212770481847,3.7884964553997427,156.18057728739976
16,2020-05-05,00:00:00,354.23921249904583,3.7856430699462913,155.64361043707288
17,2020-05-05,06:00:00,350.9178486444259,3.7827119589892786,155.10142070672646
18,2020-05-05,12:00:00,347.5980676440665,3.7797015407410552,154.55397983236995
19,2020-05-05,18:00:00,344.2799018142279,3.7766101837502752,154.00125909764313
20,2020-05-06,00:00:00,340.96338429449503,3.77343620527077,153.4432292851812
21,2020-05-06,06:00:00,337.6485490752639,3.770177869345196,152.87986066340352
22,2020-05-06,12:00:00,334.3354310213629,3.7668333848736433,152.31112296230324
23,2020-05-06,18:00:00,331.02406593200203,3.7634009030812106,151.73698542627903
24,2020-05-07,00:00:00,327.71449055244113,3.7598785155869887,151.15741675743482
25,2020-05-07,06:00:00,324.406742606445,3.756264252106406,150.57238510067745
26,2020-05-07,12:00:00,321.1008608240571,3.752556078140556,149.9818580157317
27,2020-05-07,18:00:00,317.79688501365814,3.7487518918864944,149.38580254063388
28,2020-05-08,00:00:00,314.49485607517437,3.7448495219406617,148.78418512527855
29,2020-05-08,06:00:00,311.194816038669,3.7408467245293204,148.1769716145822
30,2020-05-08,12:00:00,307.89680809717765,3.7367411807297906,147.56412721598667
31,2020-05-08,18:00:00,304.60087669384353,3.7325304926770606,146.94561657613608
32,2020-05-09,00:00:00,301.3070675368773,3.7282121808196176,146.3214037026243
33,2020-05-09,06:00:00,298.01542764572486,3.723783680561939,145.6914519449211
34,2020-05-09,12:00:00,294.7260053901654,3.719242338904322,145.05572395643418
35,2020-05-09,18:00:00,291.43885059606185,3.714585409754284,144.4141817876179
36,2020-05-10,00:00:00,288.15401456263857,3.709810050631308,143.76678679333926
37,2020-05-10,06:00:00,284.87155011807226,3.704913318571611,143.11349961119126
38,2020-05-10,12:00:00,281.59151166581626,3.6998921660415527,142.45428011699718
39,2020-05-10,18:00:00,278.31395531452335,3.6947434351003827,141.78908753849302
40,2020-05-11,00:00:00,275.03893889770865,3.689463853422968,141.1178803450693
41,2020-05-11,06:00:00,271.766522040649,3.6840500292721385,140.44061622302604
42,2020-05-11,12:00:00,268.496766216508,3.6784984464981494,139.75725202310147
43,2020-05-11,18:00:00,265.22973490651674,3.672805457214913,139.06774390013143
44,2020-05-12,00:00:00,261.96549362222873,3.666967276973453,138.3720471809871
45,2020-05-12,06:00:00,258.70410998723764,3.6609799785471124,137.67011633630128
46,2020-05-12,12:00:00,255.44565380478554,3.654839485772931,136.96190491822207
47,2020-05-12,18:00:00,252.19019725729666,3.6485415642852015,136.2473657330335
48,2020-05-13,00:00:00,248.93781493151866,3.6420818156263537,135.5264506820451
49,2020-05-13,06:00:00,245.688583918814,3.6354556695077234,134.79911072916644
50,2020-05-13,12:00:00,242.442583897158,3.628658376172367,134.065295826572
51,2020-05-13,18:00:00,239.19989738214946,3.621684994564851,133.3249551295877
52,2020-05-14,00:00:00,235.96060975494143,3.614530385104206,132.5780368036468
53,2020-05-14,06:00:00,232.72480938613964,3.607189199970516,131.8244879870261
54,2020-05-14,12:00:00,229.49258773632033,3.599655873565627,131.06425470147923
55,2020-05-14,18:00:00,226.2640396743686,3.591924607261364,130.2972821216736
56,2020-05-15,00:00:00,223.03926350824585,3.5839893604793707,129.52351433931452
57,2020-05-15,06:00:00,219.8183611395035,3.5758438383971956,128.74289432023429
58,2020-05-15,12:00:00,216.60143818684568,3.56748147994221,127.95536379617805
59,2020-05-15,18:00:00,213.38860439462383,3.5588954379188213,127.16086360523838
60,2020-05-16,00:00:00,210.17997366551378,3.55007856793487,126.35933340149442
61,2020-05-16,06:00:00,206.97566425518684,3.5410234127016347,125.55071160553051
62,2020-05-16,12:00:00,203.77579892486352,3.531722186801199,124.73493527234126
63,2020-05-16,18:00:00,200.5805054719383,3.52216675049288,123.91194052509813
64,2020-05-17,00:00:00,197.3899167628578,3.5123485958880996,123.08166219484981
65,2020-05-17,06:00:00,194.20417098040787,3.5022588267069925,122.24403376339757
66,2020-05-17,12:00:00,191.0234118138147,3.49188813879015,121.39898720077169
67,2020-05-17,18:00:00,187.84778915633277,3.481226785136564,120.5464535227825
68,2020-05-18,00:00:00,184.67745913516362,3.470264558551339,119.68636234019765
69,2020-05-18,06:00:00,181.51258442887044,3.4589907652742555,118.81864179280612
